iter	Passed	Remaining
1301	6318	2348
1302	6326	2345
1303	6333	2340
1304	6338	2336
1305	6343	2331
1306	6350	2327
1307	6356	2323
1308	6361	2318
1309	6366	2313
1310	6371	2308
1311	6375	2303
1312	6381	2298
1313	6385	2293
1314	6390	2288
1315	6394	2283
1316	6399	2278
1317	6403	2273
1318	6407	2268
1319	6412	2263
1320	6416	2258
1321	6420	2253
1322	6425	2248
1323	6429	2243
1324	6433	2238
1325	6437	2233
1326	6442	2228
1327	6446	2223
